Тема,label
"В уведомлении, в теле письма не отображается значения из поля closure_notes, при указании ${current.closure_notes}, отображается ${current.closure_notes}. ",8
test,10
Не отображаются комментарии в Activity Feed,10
Что-то странное с версткой. Дублируется картинка из описания в правом верхнем углу на форме инцидента вместо дополнительных комментариев. При переключении на другую секцию пропадает.,6
Исходящие письма обработаны со статусом Failed,10
Не добавить запись в локальный пакет.,10
не срабатывает блок Wait Condition в workflow,10
"Схожая проблема, что и у монетки. Вложения так же не добавляются. Сюда кстати тоже.",10
"Коллеги, стенд доступен, но крайне странно работает. Заявки создаются через раз. Вложения не добавляются. Работать невозможно.",5
🔥 500 CAN'T CONNECT TO TEST,2
🔥 500 CAN'T CONNECT TO DEV,2
🔥 500 CAN'T CONNECT TO PROD,2
🔥 500 CAN'T CONNECT TO DEV,2
🔥 500 CAN'T CONNECT TO TEST,2
🔥 500 CAN'T CONNECT TO PROD,2
🔥 500 CAN'T CONNECT TO DEV,2
🔥 500 CAN'T CONNECT TO TEST,2
🔥 500 CAN'T CONNECT TO PROD,2
🔥 500 CAN'T CONNECT TO PROD,2
🔥 500 CAN'T CONNECT TO DEV,2
🔥 500 CAN'T CONNECT TO HOME.SIMPLEONE.RU:443 (CONNECTION TIMED OUT),12
🔥 500 CAN'T CONNECT TO TEST,2
🔥 500 CAN'T CONNECT TO DEV,2
🔥 500 CAN'T CONNECT TO PROD,2
🔥 500 CAN'T CONNECT TO DEV,2
🔥 500 CAN'T CONNECT TO TEST,2
🔥 500 CAN'T CONNECT TO PROD,2
🔥 500 CAN'T CONNECT TO HOME.SIMPLEONE.RU:443 (CONNECTION TIMED OUT),12
🔥 500 CAN'T CONNECT TO DEV,2
🔥 500 CAN'T CONNECT TO PROD,2
🔥 500 CAN'T CONNECT TO TEST,2
🔥 500 CAN'T CONNECT TO HOME.SIMPLEONE.RU:443 (CONNECTION TIMED OUT),12
🔥 500 CAN'T CONNECT TO DEV,2
getDisplayValue в REM выдает value,10
🔥 503 SERVICE UNAVAILABLE,4
Не удаётся протестировать импорт через json.,10
Не изменяется заголовок доски задач.,10
Выгрузка в excel .walking полей,8
"При Reopen, таск должен создаваться на нового согласующего взятого из variable-а (Ранее INC0003677,  задача открыта повторно)",10
Заголовки групп в результатах поиска не переводятся,10
Потерял доступ к сотрудникам,3
Медленная работа глобального поиска,0
"Очень медленно работает дев инстанс. Периодически подвисает, не открываются страницы. Временами появляется ошибка 500.",5
Не корректная работа ACL,0
Невозможно добавить ноту,10
🔥 503 SERVICE UNAVAILABLE,4
🔥 500 CAN'T CONNECT TO SERVICEDESK.ITPARK.RU:443 (CONNECTION TIMED OUT),12
🔥 503 SERVICE UNAVAILABLE,4
🔥 503 SERVICE UNAVAILABLE,4
🔥 500 CAN'T CONNECT TO SERVICEDESK.ITPARK.RU:443 (CONNECTION TIMED OUT),12
🔥 500 CAN'T CONNECT TO SERVICEDESK.ITPARK.RU:443 (CONNECTION TIMED OUT),12
🔥 500 CAN'T CONNECT TO SERVICEDESK.ITPARK.RU:443 (CONNECTION TIMED OUT),12
🔥 503 SERVICE UNAVAILABLE,4
🔥 500 CAN'T CONNECT TO SERVICEDESK.ITPARK.RU:443 (CONNECTION TIMED OUT),12
🔥 503 SERVICE UNAVAILABLE,4
Область подтверждения решения в виджете ITSM Task Assessment расположена не по центру,10
🔥 503 SERVICE UNAVAILABLE,4
🔥 500 CAN'T CONNECT TO SERVICEDESK.ITPARK.RU:443 (CONNECTION TIMED OUT),12
🔥 503 SERVICE UNAVAILABLE,4
🔥 503 SERVICE UNAVAILABLE,4
Пропадает навигации на портале,10
Постоянные проблемы с индикациями,9
503 Service Unavailable,4
"При открытии новой вкладки указывается неверный пакет для сохранения, несмотря на выбор другого пакета.",10
Не запускается скрипт по расписанию,10
В Excel не выгружаются подразделения пользователей (связанные поля),8
не работает дев стенд. ошибка Request failed with status code 500,5
Ошибка на Home,1
Входящие письма в статусе сбой.,10
Не корректная работа getDisplayValue в REM  с полем типа choise,0
Запускается непонятный скрипт,10
Ошибка при попытке автоподстановки в полях с динамическими квалификаторами,8
"Заказчик жалуется, что иногда пропадают вложения из заявок. Просьба проверить.",10
"При создании поля система ругается, что поле с таким именем уже есть. ",8
"В таблице сотрудников при импорте данных могут быть созданы дубли (не всегда, иногда ругается) при установленном флаге уникальности для полей логина и почты.",10
"Просьба предоставить последнюю на текущий момент версию mid сервера. Старый (от 29 октября 2020 года) данные получает, обрабатывает, но не отдает результат обратно. Статус очереди так же не меняется.",10
Не всё переведено в графическом редакторе процессов,10
"Коллеги, опять после клонирования бьется ссылка на создание transformation map в сообщении",10
Нет доступа к статье,3
ACL правило на запись влияет на создание запросов с портала.,10
"Добрый день, нет доступа к демо-стенду Т1 по адресу https://esm.t1-integration.ru/ .

Просьба помочь.",3
Ошибка поиска You can`t start a property name (__table_name) with an underscore через SimpleSearch,1
Проблемы с setValue() при импорте LDAP,10
Не создаются индикации по активным индикаторам,9
Ошибка при попытке загрузить тестове 20 записей при импорте An internal server error occurred.,10
Необходимо дать всем сотрудникам с ролью ITSM_agent иметь возможность выгружать данные из списка в Excel,11
"В виджете с SLA надо отображать не фактический процент, а business_elapsed_percentage, с учетом календаря.",10
лежит прод,10
Проблемы с произодительностью,10
На dev и test экземплярах просрочены сертификаты,10
"Заказчик начал жаловаться на подвисания сервера, вчера еще было ок. Народу стало заходить больше. ",10
Истек срок действия сертификата,10
Починить https://partners.simpleone.ru,10
Проблемы с доступом к инстансу,3
Некоторые уведомления отправляются по 3 раза,10
Не работает оператор changes на инстансе,5
Статус acceptance для системных историй,10
Нет возможности назначить исполнителя в системных историях,10
runScript в консоли браузера,10
"Если редактировать узлы в списке, то по всей видимости рушится rem модель, возникает ошибка (см. скриншот)",11
"Сбой отправки оповещений по обращениям, зарегистрированным по почте",10
"На dev стенде после клонирования нет возможности отредактировать группу и пользователя, возникает ошибка c_history_sys_id не существует.",10
При импорте не происходит заполнение полей защищённых через ACL,8
Система не дает убрать подчиненную группу,10
Крайне долгое открытие списка пользователей при привязке например к группе из связанного списка.,11
"Коллеги из Монетки жалуются на периодическое сваливание в Something went wrong при работе в браузерах, отличных от Chrome. Пример на скриншоте - Мозилла.",0
"Коллеги, как заходить обычному сотруднику через side-door?",10
"При попытке динамически добавить опцию, содержащую / , форма валится в 404",6
"При настройке формы для таблицы импорта вылезает ошибка, форма не сохраняется",6
Просьба удалить ошибочно созданные через импорт индикаторы (без политики),10
Иногда при редактировнии ячейки в таблице после сохранения она смещается влево.,10
После клонирования дева в прод ссылка на создание transformation map на проде ведет на дев.,10
"Система не может разрешить ""кому отправить"" уведомление",10
Не установить моб.приложение на телефон,10
Идентификатор вместо наименования в календаре изменений,10
Не корректная работа s_form.setReadOnly,0
не загружается import set ошибка - An internal server error occurred. Статус остается loading,10
🔥 404 NOT FOUND,10
Перестали регистрироваться письма на продуктовом инстансе,10
не удается загрузить данные через импорт xml по участникам группы. Импорт останавливается на 80 строке.,10
Загрузка данных из json,10
Не работает импорт данных из Excel - сделал всё по инструкции,5
Виджет Activity Feed,10
ITSM агент не может создать отчёт таблица (UI List не рефференс поле),8
не удается загрузить файл формата xml для импорта ,10
"Просьба уточнить, с какого ip адреса забирается почта.",10
Некорректное поведение виджета SLA,10
при получении данных из другой системы (servicenow) при объемах записей > 3000 или 4000 периодически возникает ошибка 504 или 500,1
Не происходит логин в систему. SSO включен,10
Некорректная работа индикации,9
"Проблема поиска символа ""пробел""",10
Ошибка при отправке через SMTP. Проверку проходит корректно.,1
Не корректная работа Filter Condition в бизнес правиле,0
"При загрузке данных через импорт, часть данных висит в ожидании и не обрабатывается. 
Также не удается удалить запись из таблицы после загрузки.",10
Отсутствует ретроспективный старт в индикаторах.,10
Используется некорректный атрибут или перевод на форме обращения,6
Не удается загрузить файл большего объема формата xml для последующего импорта данных.,10
инстанс недоступен. 503 ошибка,1
"Ошибка ""Bad search filter""",1
Не доступен инстанс. ,5
Ошибка Server error при попытке загрузки локального пакета,10
"Не создаются обращения, статьи, не открываются существующие. Похоже проблема со всеми объектами, в которых есть поле number",8
инстанс недоступен. 503 ошибка,1
RO всех полей для Назначенного,8
"Письма, приходящие от сотрудников из таблицы Employee обрабатываются как от Guest User.
От сотрудников в таблице User как положено.",10
Не удается загрузить данные из XML файла,10
Невозможно понять названия Репортов при создании Дашборда,10
Просьба сделать клон в прод. Заявка для прода REQ0003145,10
Ошибка Uncaught (in promise) TypeError: Cannot read properties of undefined (reading '0') при сохранении объекта формы remform полученной через метод s_widgets.getForm('formName'),6
При переходе на форму компании показывается 404 ошибка,6
Появление дубликатов запросов,10
FW: REQ0001790 - Обращение закрыто,10
Не работает кнопка Мои заявки в телеграм боте,5
Невозможно сохранить запись в sys_rmc_model,10
Не переведенные тексты на форме инцидента,6
ошибка r.getData is not a function,1
Письма не отправляются (Failed) и не проходит,10
Длительность на отчётах отображается в миллисекундах (замечено под пользователем без роли admin),10
Ителла на ПРОДЕ! не может создать Сотрудников - очень горит,10
тэг list ,10
Исходящие письма обработаны со статусом Failed,10
Не заполняется атрибут SLA due в инцидентах.,10
"Функция ""Группировать по"" не работает для отчетов при их размещении на дащборд",5
Некорректный перевод значений классификатора Тип среза (Гистограмма),10
" В скриптах, запрос возвращает лишние записи при поиске по ISEMPTY или null.",10
Не работает SMTP ,5
Заказчик обнаружил баг в системе.,10
Не выполняется локализация опций в поле Timezone в меню Preferences,8
Отображение поля Тип контакта при регистрации обращения с портала,8
Бесконечные серверные ошибки,1
Неполный перевод в отчётах,10
Кривая форма запроса в коробке,6
Сдвинут виджет с оценкой на портале,10
Schedule script запускается дважды,10
Проблема при переключении категорий в каталоге услуг (не меняется надпись в районе кнопки назад),10
Динамические значения по умолчанию.,10
Отсутствует возможность добавить ответственного к заявке,10
Не работает SimpleTag <conditions>,5
Падение клиентского интерфейса,10
Нет доступа к инстансу.,3
Переход к связанным сущностям из мобильного интерфейса,10
Специфичное поведение бургер меню на портале,10
Легенда в отчёте,10
Нет доступа к инстансу.,3
Невозможность сброса автоинкремента для системных номеров (версия 1.12.0+),10
radioButtonsMode не работает,5
дефект локализации отображения значений на листовом представлении,10
Исчезает атрибут с формы,6
Создание задач через Workflow,10
Прошу продлить срок действия экземпляра,10
При переключении в меню между страницами дашбордов всегда открывается первый.,10
Error EvaluateByScript: Xdebug has detected...,10
Очищаются REM поля после добавления доп. комментариев пользователем при запросе уточнения. ,8
Protected ACL в приложении Simple Application не могут быть деактивированы,10
"Периодические пропадания приложения, ошибки",1
Не доступен инстанс,5
Ошибки на портале,1
Портал Home цифры перехода по страницам,10
Тикет переводится в Assigned из Closed,10
Странное поведение уведомлений,10
Не работает поиск sys_db_column Ip adress таблицы sys_db_column через title и table_id,5
Обнаружена ошибка Телеграм бота.,1
К демонстрации в понедельник нужно починить Telegram bot.,10
Редирект на главную страницу портала после отправки формы,6
Пользователь не видит параметры REM в зарегистрированных через каталог обращениях,10
Каталог услуг на базе REM + Inquiry,10
Вёрстка страницы view_model,10
Отсутствует вёрстка у страницы my_sc_tickets,10
Rest запросы,10
Не обновляется дата изменения записи в таблице Конфигурационная единица,10
Механизм VCS записей,10
Двойное отображение названия атрибута,10
"Проблема с виджетом ""Read Only Form"".",10
Ошибка при сортировке атрибутов,1
SLA продолжает считаться в паузе,10
Не обновляется списочное представление и исчезает меню,10
"при переходе по ссылкам, ведущим на форму, имеющую отношение к одной и той же таблице не происходит обработка get - параметров URL и не происходит обновление информации на форме. См вложение.",6
не запускаются Business Rule таблицы Import Set,10
Drilldown для секции столбца Bar отчёта с настройкой Stacked by {true_false_field} направляет в список с условием ({true_false_field}=false). По такому условию в списке  отображаются записи со значением true в поле true_false_field. Правильное условие - ({true_false_field}=0),11
В логе много ошибок вида - current record doesn't have REM model,1
"При нажатии на, созданную в виджете, кнопку обновляется запись.",10
Недоступен экземпляр с 503 ошибкой,1
Недоступен инстанс,10
Неверное отображение заголовка таблицы в отчёте. Percentage отображается только на английском,10
Завис импорт через источник импорта,10
Экспорт значений из связанных полей,8
Не удается применить динамический фильтр,10
Вместо наименование КЕ отображается её идентификатор,10
Смена ID для Work Notes,10
Ошибка на Home портале при открытии записи экземпляра.,1
"Проблема с согласованиями (теряется remmodelid на реквесте) на клоне прода, из-за чего не работает workflow",5
При переопределении полей есть возможность переопределить таблицу для reference,8
"Платформа позволяет делать get запрос через объект, вместо sys_id, при этом никаких ошибок не выдается",1
rem_attr.getValue для choice выдает DisplayValue вместо Value,10
Некорректное определение типа письма,10
Не приложился файл к письму,10
Не удается получить значение атрибута текущего пользователя,10
Не удается вывести все инциденты в виджете листового представления,10
Шапка портала,10
Самопроизвольно переименовывается наименование раздела меню при его обновлении,7
Требуется включить регистрацию входящих писем на клон-инстансе,10
Не применяется язык по умолчанию для пользователя,10
При многократной смене модели инцидента на форму подтягиваются не все атрибуты текущей модели записи,6
Не доступен инстанс ERR_CONNECTION_TIMED_OUT,5
Ошибки при доступе к объектам в режиме имперсонации,3
Закрытие основной карточки при нажатии кнопки + в поле записи,8
Отображается идентификатор операторов вместо данных,10
не работает создание Инцидента через Телеграмм бот,5
"Не отправляется нотификация (ни на тесте, ни на проде)",10
Виджет User Deactiovation Helper выполняется с ошибкой,1
Поврежденная статья на портале,10
Не регистрируются письма со вложениями,10
Поломался импорт через источник импорта,10
Недоступен инстанс,10
Коннектор работы с почтой работает не корректно.,5
(Devops) Не получается собрать проект из текущего мастера,10
Проблема с затиранием данных в полях Subject и Description,8
"Не доступен инстанс. 503 ошибка. Критично, т.е. ведётся разработка на этом сервере",1
Сбой в отправке писем,10
🔥 503 SERVICE UNAVAILABLE,4
🔥 502 BAD GATEWAY,10
Не работает ссылка на список исправленных ошибок в сегодняшнем релизе.,11
🔥 503 SERVICE UNAVAILABLE,4
Инстанс недоступен,10
Не удается применить стили к виджету,10
Уязвимости на инстансе,5
s_form.addOption не работает для REM?,5
"Информация, импортированная в таблицу varchar не отображается на REM-форме.   ",6
"Таймер рассчитал время, игнорируя рабочие часы",10
Проблема с обновлением и переводом,7
Инстанс не доступен,5
🔥 500 CAN'T CONNECT TO SERVICEDESK.RU:443 (NAME OR SERVICE NOT KNOWN),2
🔥 500 CAN'T CONNECT TO SERVICEDESK.RU:443 (NAME OR SERVICE NOT KNOWN),2
🔥 500 CAN'T CONNECT TO HOME.SIMPLEONE.RU:443 (NAME OR SERVICE NOT KNOWN),2
🔥 500 CAN'T CONNECT TO HOME.SIMPLEONE.RU:443 (NAME OR SERVICE NOT KNOWN),2
🔥 500 CAN'T CONNECT TO SERVICEDESK.RU:443 (NAME OR SERVICE NOT KNOWN),2
🔥 500 CAN'T CONNECT TO HOME.SIMPLEONE.RU:443 (NAME OR SERVICE NOT KNOWN),2
🔥 500 CAN'T CONNECT TO SIMPLEONE.RU:443 (NAME OR SERVICE NOT KNOWN),2
🔥 500 CAN'T CONNECT TO SERVICEDESK.RU:443 (NAME OR SERVICE NOT KNOWN),2
🔥 500 CAN'T CONNECT TO SIMPLEONE.RU:443 (NAME OR SERVICE NOT KNOWN),2
🔥 500 CAN'T CONNECT TO HOME.SIMPLEONE.RU:443 (NAME OR SERVICE NOT KNOWN),2
Проблемы с отображением листового представления таблицы и невозможностью экспорта данных в JSON. ,10
 В поиске ссылки «Показать все совпадения» не работают.,5
Не срабатывает ACL по роли на самосозданное поле.,8
"Письма полученные по почте зависли в статусе ""Прикрепление""",10
Не работает поиск в агентском портале,5
Отсутствуют атрибуты описание и иконка в узле.,10
Проблемы с импортом,10
Некорректная работа условия codition в widget,0
Уменьшить время проверки почтовых ящиков на cloudsupport.oblako.gcs.ru,10
Перестали регистрироваться заявки посредство электронной почты,10
Ошибка при добавлении вложений на тестовом инстансе,1
Не корректное заполнение поля Тип контакта в Обращении.,8
"Теперь не могу изменить другой объект, ситуация похожая на INC0003704, однако переводы вроде бы на месте.",10
Не все атрибуты пользователей приходят из AD,10
Как определить версию инстанса?,10
Не отрабатывает s_form.setValue для HTML полей,8
На форме создания нового отчета в фильтре нет кнопки Сортировка,6
Невозможно скорректировать ранее созданный отчёт,10
Коллекционные атрибуты не мапятся. ,10
"При попытке добавить поле на форму, страница перестала функционировать",6
Не работает брул закрытия массовых инцидентов,5
"При вызове s_modal.renderPageTemplate('portal', 'page'); в агентском интерфейсе заголовок страницы становится равным заголовку страницы портала.",10
"Ошибка при сохранении изменений в объекте ""Страница""",1
Устаревшая документация по Базе Знаний,10
Письма об автоматическом завершении обращений,10
Поле типа Read only,8
Удаление устаревших записей. Из таблицы логов коэффициентов,10
Поиск на портале по полю типа List (теги) не работает.,8
Генерация записей в таблице sys_search_index,10
Ошибка при добавлении поля на форму: Trying to get property 'sys_id' of non-object,6
"При попытке изменить условие (REM), возникает ошибка ""свойство не существует"".",1
Тестовый инстанс показывает 500 ошибку при загруке локального пакета,10
Необходимо продление работы экземпляра,0
Пропал доступ на экземпляр под учётной записью admin ,3
Нет доступа,3
Недоступен инстанс ,10
"Mеханизм логирования login/logout работает неправильно. Во вложении скриншот, на нем три входа зафиксировано и только один выход. Сессии пользователей",5
🔥 500 CAN'T CONNECT TO DEV,2
"В разделе ""Мои отчеты"" на портале, не полностью заливается фон страницы, в самом отчете также   фон неполный.",10
Возникает предупреждение при выборе другого типа запроса в REM-каталоге на портале.,10
"При Reopen, таск должен создаваться на нового согласующего взятого из variable-а",10
Время на экземпляре,10
Проблемы с функционированием логистических запросов,10
Некорректное всплывающее окно при запрете сохранения бизнес-правилом,10
Не происходит фриз (disable) кнопки Send при отправке формы REM запроса из каталога услуг на портале,6
Виджет реклассификации перестал работать,5
Пропадает обязательность поля,8
"Добрый день, столкнулись с проблемой заполнения поля ""Тема"" на таблице ""sys_notification_template"" (Шаблоны уведомлений).

В свойствах поля в атрибуте Максимальная длина указано 998. При вводе 105 символов выводится ошибка ""SQLSTATE[22001]: String data, right truncated: 7 ERROR: value too long for type character"".",8
Права на экспорт данных,10
"Недоступность страницы ""Мои экземпляры""",10
Не корректно выполнен запрос REQ0002887 ,10
Восстановление доступа на home.simpleone.ru,3
Исходящее письмо обработано со статусом Failed,10
Исходящее письмо обработано со статусом Failed без записи в sys_log,10
Уязвимость на инстансе,5
"На продакшн-инстансе, перестали регистрироваться заявки по электронной почте",10
